scenario,number_extend,count,mean_anchoring_time,std,min,percentile25,percentile50,percentile75,max
Local Anchoring,1000,1000.0,16.236,0.6345917638188416,11.0,16.0,16.0,17.0,18.0
Local Anchoring,10000,10000.0,16.075,0.5936415088452286,11.0,16.0,16.0,16.0,19.0
Local Anchoring,100000,100000.0,16.15757,0.5428302144748336,11.0,16.0,16.0,16.0,39.0
Remote Anchoring,10,10.0,23.2,9.81835016690686,18.0,19.0,19.0,22.25,50.0
Remote Anchoring,100,100.0,24.45,3.906417925683457,19.0,24.0,25.0,25.0,53.0
Remote Anchoring,1000,1000.0,24.538,1.622710445270252,18.0,24.0,25.0,25.0,29.0
Remote Anchoring,10000,10000.0,24.4448,1.996134117523527,17.0,24.0,25.0,25.0,33.0
Remote Anchoring,100000,100000.0,24.63341,1.961973563864849,17.0,24.0,25.0,26.0,46.0
Remote Anchoring with mTLS,10,10.0,42.9,11.532080856848381,36.0,38.0,39.5,41.0,75.0
Remote Anchoring with mTLS,100,100.0,41.6,3.6459469679260677,36.0,40.0,41.0,42.0,66.0
Remote Anchoring with mTLS,1000,1000.0,40.999,3.617469431119652,33.0,40.0,41.0,42.0,70.0
Remote Anchoring with mTLS,10000,10000.0,41.0212,4.699421136257539,33.0,40.0,41.0,42.0,277.0
Remote Anchoring with mTLS,100000,100000.0,41.0687,3.335672582419967,33.0,40.0,41.0,42.0,97.0
Local Anchoring,10,10.0,15.6,0.5163977794943222,15.0,15.0,16.0,16.0,16.0
Local Anchoring,10,10.0,15.4,0.5163977794943222,15.0,15.0,15.0,16.0,16.0
Local Anchoring,10,10.0,15.7,0.483045891539648,15.0,15.25,16.0,16.0,16.0
Local Anchoring,10,10.0,19.1,12.617888536166069,15.0,15.0,15.0,15.0,55.0
Local Anchoring,10,10.0,15.6,0.6992058987801011,15.0,15.0,15.5,16.0,17.0
Local Anchoring,10,10.0,15.6,0.5163977794943223,15.0,15.0,16.0,16.0,16.0
Local Anchoring,10,10.0,15.4,0.5163977794943223,15.0,15.0,15.0,16.0,16.0
Local Anchoring,10,10.0,15.6,0.5163977794943223,15.0,15.0,16.0,16.0,16.0
Local Anchoring,10,10.0,15.6,0.5163977794943223,15.0,15.0,16.0,16.0,16.0
Local Anchoring,10,10.0,17.0,6.0,14.0,15.0,15.0,15.75,34.0
Remote Anchoring,10,10.0,24.8,1.2292725943057183,23.0,24.0,24.5,25.75,27.0
Remote Anchoring,10,10.0,24.2,1.6865480854231356,20.0,24.0,24.0,25.0,26.0
Remote Anchoring,10,10.0,24.2,0.42163702135578396,24.0,24.0,24.0,24.0,25.0
Remote Anchoring,10,10.0,25.3,1.0593499054713802,24.0,24.25,25.5,26.0,27.0
Remote Anchoring,10,10.0,26.1,3.7252889522529364,23.0,24.0,25.0,26.75,36.0
Remote Anchoring,10,10.0,25.4,1.7126976771553506,24.0,24.25,25.0,25.0,29.0
Remote Anchoring,10,10.0,25.7,1.70293863659264,23.0,24.25,26.0,26.75,28.0
Remote Anchoring,10,10.0,24.9,1.1972189997378646,23.0,24.0,25.0,25.75,27.0
Remote Anchoring,10,10.0,24.9,1.1005049346146119,24.0,24.0,24.5,25.75,27.0
Remote Anchoring,10,10.0,25.1,1.1972189997378646,24.0,24.25,25.0,25.0,28.0
