scenario,host_id,count,mean_cpu_utilization,std,min,percentile25,percentile50,percentile75,max,number_extend
Remote Anchoring with mTLS,Host1,108.0,6.791574074074073,0.47988542642919957,4.25,6.7275,6.83,6.95,8.19,1000
Remote Anchoring with mTLS,Host2,108.0,7.159907407407407,0.8066423953421423,4.61,6.92,7.03,7.18,11.87,1000
Baseline,Host1,1998.0,3.3288038038038037,0.5315669908338572,0.04,3.27,3.39,3.52,5.32,10000
Baseline,Host2,1998.0,3.461806806806807,0.20363936800632873,0.96,3.32,3.44,3.58,4.27,10000
Local Anchoring,Host1,1062.0,6.425169491525424,0.3092761904980368,4.16,6.35,6.44,6.53,7.53,10000
Local Anchoring,Host2,1062.0,6.5030602636534836,0.4761261308735225,4.31,6.35,6.44,6.53,11.76,10000
Remote Anchoring,Host1,1058.0,6.587722117202268,0.30313563178980296,4.22,6.5,6.59,6.7,7.39,10000
Remote Anchoring,Host2,1058.0,6.765321361058602,0.5911428732796896,4.67,6.59,6.69,6.8,13.89,10000
Remote Anchoring with mTLS,Host1,1061.0,6.790678605089538,0.3356158959684891,4.17,6.71,6.81,6.91,9.25,10000
Remote Anchoring with mTLS,Host2,1061.0,7.045862393967955,0.48708638564884116,4.21,6.9,7.0,7.12,14.29,10000
Baseline,Host1,20037.0,3.435811249189,0.7616148069082039,0.0,3.27,3.39,3.52,8.95,100000
Baseline,Host2,20037.0,3.6096666167589957,0.6403337874913748,1.0,3.35,3.47,3.6,8.41,100000
Local Anchoring,Host1,10615.0,6.455326424870465,0.40176671315257195,4.17,6.35,6.44,6.54,11.22,100000
Local Anchoring,Host2,10615.0,6.669708902496467,0.7991767245221497,4.51,6.37,6.47,6.6,12.91,100000
Remote Anchoring,Host1,10582.0,6.886107541107542,1.1393072111712954,4.17,6.52,6.62,6.77,13.83,100000
Remote Anchoring,Host2,10582.0,6.748032508032507,0.4772790160131314,4.72,6.59,6.69,6.81,14.14,100000
Remote Anchoring with mTLS,Host1,10616.0,6.876085154483797,0.5574026214797002,4.14,6.76,6.87,6.98,19.01,100000
Remote Anchoring with mTLS,Host2,10616.0,7.101667294649586,0.5123452020977167,4.39,6.93,7.04,7.16,14.33,100000
Baseline,Host1,202.0,3.2535148514851486,0.4848080322525042,0.0,3.23,3.31,3.39,4.83,1000
Baseline,Host2,202.0,3.3931683168316837,0.300591227344307,0.88,3.31,3.43,3.52,5.3,1000
Local Anchoring,Host1,108.0,6.417685185185184,0.396169996744486,4.18,6.37,6.46,6.56,7.64,1000
Local Anchoring,Host2,108.0,6.469537037037037,0.5049074760419985,4.46,6.33,6.44,6.5024999999999995,10.54,1000
Remote Anchoring,Host1,108.0,6.62861111111111,0.4213539776183783,4.3,6.58,6.69,6.79,7.61,1000
Remote Anchoring,Host2,108.0,6.611388888888889,0.3399627751291607,4.47,6.53,6.62,6.73,7.39,1000
Remote Anchoring with mTLS,Host1,108.0,6.937685185185185,0.40895948770288765,4.45,6.89,6.97,7.11,7.63,1000
Remote Anchoring with mTLS,Host2,108.0,7.015,0.36872728822818657,4.55,6.94,7.04,7.1525,7.74,1000
Baseline,Host1,2030.0,3.3139655172413796,0.5251971291227148,0.04,3.27,3.38,3.4975,6.03,10000
Baseline,Host2,2030.0,3.5960541871921183,0.5166380563234744,0.55,3.39,3.52,3.64,7.85,10000
Local Anchoring,Host1,1063.0,6.527102539981185,0.5760678088218213,4.18,6.36,6.45,6.57,10.84,10000
Local Anchoring,Host2,1063.0,6.531937911571026,0.3486587265925744,4.55,6.4,6.49,6.6,11.67,10000
Remote Anchoring,Host1,1056.0,6.601827651515152,0.29265377151761457,4.17,6.52,6.61,6.71,7.94,10000
Remote Anchoring,Host2,1056.0,6.643768939393939,0.1827525185962751,4.75,6.54,6.62,6.74,8.56,10000
Remote Anchoring with mTLS,Host1,1064.0,6.998505639097744,0.36500972804490844,4.26,6.9,7.02,7.15,8.21,10000
Remote Anchoring with mTLS,Host2,1064.0,7.054389097744361,0.19906461157120375,4.61,6.95,7.05,7.15,7.83,10000
Baseline,Host1,20252.0,3.2876273948252024,0.4957623841417027,0.0,3.23,3.35,3.45,6.53,100000
Baseline,Host2,20252.0,3.6929285996444796,0.7089690155930977,0.71,3.39,3.52,3.67,9.21,100000
Local Anchoring,Host1,2164.0,6.474510166358595,0.3849912973278577,4.17,6.37,6.46,6.57,11.05,100000
Local Anchoring,Host2,4589.0,6.594329919372412,0.5631817508615655,4.31,6.4,6.49,6.6,11.86,100000
Remote Anchoring,Host1,10562.0,6.602648172694566,0.4262531812326,4.16,6.5,6.59,6.69,13.37,100000
Remote Anchoring,Host2,10562.0,6.773185002840371,0.5843601930281963,4.39,6.58,6.69,6.81,14.19,100000
Remote Anchoring with mTLS,Host1,10628.0,7.0477766277756855,1.0212138109440805,4.16,6.74,6.85,6.99,13.82,100000
Remote Anchoring with mTLS,Host2,10628.0,7.143697779450508,0.5506219549216095,4.62,6.96,7.08,7.2,13.94,100000
Baseline,Host1,201.0,3.3317412935323385,0.5884296497766902,0.0,3.31,3.4,3.49,6.39,1000
Baseline,Host2,201.0,3.4136815920398016,0.3593805477616349,0.42,3.31,3.43,3.53,5.78,1000
Local Anchoring,Host1,216.0,6.422500000000001,0.41101830435106895,4.22,6.36,6.45,6.56,7.45,1000
Local Anchoring,Host2,216.0,6.490925925925926,0.31696683719729973,4.46,6.4,6.495,6.64,7.32,1000
Remote Anchoring,Host1,214.0,6.636074766355142,0.3855603982190439,4.22,6.57,6.68,6.77,7.75,1000
Remote Anchoring,Host2,214.0,6.626635514018691,0.32639140628137797,4.51,6.54,6.64,6.73,7.78,1000
Remote Anchoring with mTLS,Host1,216.0,6.89,0.4672134117221199,4.26,6.82,6.925,7.05,7.82,1000
Remote Anchoring with mTLS,Host2,216.0,6.940462962962962,0.34919011749584405,4.48,6.85,6.98,7.05,7.71,1000
Baseline,Host1,2002.0,3.2808541458541463,0.4551581431081687,0.13,3.23,3.32,3.44,5.23,10000
Baseline,Host2,2002.0,3.641748251748252,0.4564618952645732,1.25,3.47,3.56,3.68,7.54,10000
Local Anchoring,Host1,2124.0,6.6988606403013184,0.7977852771550584,4.18,6.4,6.54,6.71,12.02,10000
Local Anchoring,Host2,2124.0,6.527033898305084,0.4309648682253837,4.55,6.37,6.47,6.57,11.75,10000
Remote Anchoring,Host1,2110.0,6.59231279620853,0.27263732542698593,4.18,6.5,6.6,6.6975,7.61,10000
Remote Anchoring,Host2,2110.0,6.686701421800948,0.19352810029173906,4.38,6.58,6.68,6.78,7.42,10000
